,matchId,Type,SecondaryType,location,team,opponentTeam,Player,goal,X,Y,C,distance,angle,arc_length,distance_squared,distance_cube,adj_distance,adj_distance_squared,adj_distance_cube
58419,5251252,free_kick,['free_kick_cross'],"{'x': 69, 'y': 10}",Milan,Fiorentina,Theo Hernández,0,31.0,10.0,40.0,42.418657451645025,0.13262841267262687,5.625919205515575,1799.3425,76325.69314568659,25.918657451645025,671.7768040957142,17411.552869317664
58621,5251252,free_kick,['free_kick_cross'],"{'x': 89, 'y': 3}",Milan,Fiorentina,Theo Hernández,0,11.0,3.0,47.0,33.98299721919772,0.07393403575423198,2.51250013144013,1154.8441,39245.06383890689,17.48299721919772,305.65519176647524,5343.768867686633
58911,5251252,free_kick,['free_kick_cross'],"{'x': 94, 'y': 90}",Milan,Fiorentina,S. Tonali,0,6.0,90.0,40.0,27.920064469839605,0.06012055431032442,1.678569752306751,779.53,21764.527856174067,11.420064469839605,130.41787249529295,1489.380511915567
59191,5251252,free_kick,"['free_kick_cross', 'shot_assist']","{'x': 71, 'y': 15}",Milan,Fiorentina,Theo Hernández,0,29.0,15.0,35.0,38.64767133993974,0.14945609391670558,5.776129997444005,1493.6424999999997,57725.80443936593,22.14767133993974,490.5193457819882,10863.861256261733
59260,5251252,free_kick,['free_kick_cross'],"{'x': 73, 'y': 71}",Milan,Fiorentina,S. Tonali,0,27.0,71.0,21.0,31.74335993558338,0.20576895093250533,6.531797873017912,1007.6409000000002,31985.907774515184,15.243359935583381,232.3600221257486,3541.947451902904
59312,5251252,free_kick,['free_kick_cross'],"{'x': 66, 'y': 59}",Fiorentina,Milan,C. Biraghi,0,34.0,59.0,9.0,36.220773045312,0.19859057241978087,7.19310405255548,1311.9444000000003,47519.64036046804,19.720773045312,388.90888950470435,7669.583945226597
59433,5251251,free_kick,"['free_kick_cross', 'second_assist', 'shot_assist']","{'x': 66, 'y': 86}",Juventus,Venezia,F. Miretti,1,34.0,86.0,36.0,43.28695415480281,0.13955611590140493,6.040959191046462,1873.7604,81109.38053188496,26.786954154802807,717.5409128915073,19220.73553782016
59483,5251251,free_kick,['free_kick_cross'],"{'x': 70, 'y': 91}",Venezia,Juventus,M. Aramu,0,30.0,91.0,41.0,42.06595297862631,0.13055187760516376,5.4917891446101965,1769.5444,74437.57152399152,25.565952978626314,653.6179517053316,16710.365819284554
60158,5251251,free_kick,['free_kick_cross'],"{'x': 64, 'y': 27}",Juventus,Venezia,L. Pellegrini,0,36.0,27.0,23.0,40.907818323640775,0.16516059494531393,6.7563596122473255,1673.4496,68457.17221056932,24.407818323640775,595.7415953198544,14540.75262640293
60259,5251251,free_kick,['free_kick_cross'],"{'x': 63, 'y': 64}",Juventus,Venezia,F. Miretti,0,37.0,64.0,14.0,39.999411245667105,0.17736125349971002,7.094345717781915,1599.9529,63997.1740207977,23.499411245667105,552.2223288929856,12976.899605696304
60909,5251251,free_kick,['free_kick_cross'],"{'x': 67, 'y': 15}",Venezia,Juventus,S. Kiyine,0,33.0,15.0,35.0,42.036442523125096,0.1436369017658706,6.037984365280785,1767.0624999999998,74281.02121601973,25.536442523125096,652.1098967368716,16652.566896782166
61144,5251256,free_kick,"['free_kick_cross', 'second_assist', 'shot_assist']","{'x': 62, 'y': 25}",Spezia,Lazio,D. Verde,1,38.0,25.0,25.0,43.370612169993635,0.1551291083137028,6.728044392950539,1881.01,81580.55519787973,26.870612169993635,722.02979839021,19401.382687722027
62001,5251256,free_kick,"['assist', 'free_kick_cross', 'shot_assist']","{'x': 85, 'y': 12}",Spezia,Lazio,D. Verde,1,15.0,12.0,38.0,30.26166056250053,0.1270747540886761,3.8454930742947426,915.7680999999999,27712.66339616604,13.76166056250053,189.38330143748243,2606.228710588352
62152,5251256,free_kick,['free_kick_cross'],"{'x': 72, 'y': 10}",Lazio,Spezia,Luis Alberto,0,28.0,10.0,40.0,40.052465592020674,0.13446616346388893,5.385701385428439,1604.2,64252.165302719564,23.552465592020674,554.7186354633178,13064.99157500245
62481,5251256,free_kick,['free_kick_cross'],"{'x': 81, 'y': 12}",Spezia,Lazio,S. Bastoni,0,19.0,12.0,38.0,32.64518494357169,0.13789366634802075,4.501564240478306,1065.7080999999998,34790.23802036239,16.145184943571692,260.66699686213406,4208.516873024577
62546,5251256,free_kick,['free_kick_cross'],"{'x': 68, 'y': 67}",Lazio,Spezia,Luis Alberto,0,32.0,67.0,17.0,35.53299311907175,0.19440139540531123,6.90766344527487,1262.5936000000002,44863.72970098403,19.032993119071747,362.2548270706325,6894.793630985874
62703,5251255,free_kick,['free_kick_cross'],"{'x': 68, 'y': 54}",Genoa,Sampdoria,P. Galdames,0,32.0,54.0,4.0,33.70991545524848,0.2156159394863898,7.268395090890172,1136.3584,38306.54559086144,17.209915455248478,296.1811899768004,5097.253238935623
62794,5251255,free_kick,['free_kick_cross'],"{'x': 73, 'y': 74}",Sampdoria,Genoa,A. Candreva,0,27.0,74.0,24.0,32.71184647799632,0.19392448356105046,6.343627934573804,1070.0649,35003.79873029248,16.211846477996318,262.8239662261216,4260.861791195973
63070,5251255,free_kick,"['free_kick_cross', 'shot_assist']","{'x': 37, 'y': 70}",Sampdoria,Genoa,A. Ferrari,0,63.0,70.0,20.0,67.53356572845833,0.10608295465894622,7.164160191129009,4560.782500000001,308005.90473695257,51.03356572845833,2604.4248309608765,132913.08579567086
63085,5251255,free_kick,['free_kick_cross'],"{'x': 67, 'y': 44}",Genoa,Sampdoria,P. Galdames,0,33.0,44.0,6.0,34.889380905943284,0.20764813442209992,7.244714856261157,1217.2688999999998,42469.75831705858,18.389380905943284,338.16933010387146,6218.724621987765
63496,5251255,free_kick,['free_kick_cross'],"{'x': 77, 'y': 5}",Sampdoria,Genoa,A. Sabiri,0,23.0,5.0,45.0,38.98182268699092,0.11683339215514418,4.554378576911506,1519.5824999999998,59236.095573254366,22.481822686990917,505.4323513292995,11363.040502854208
63711,5251255,free_kick,['free_kick_cross'],"{'x': 66, 'y': 24}",Genoa,Sampdoria,P. Galdames,0,34.0,24.0,26.0,39.83807726283989,0.16455787333428262,6.555669272099771,1587.0724000000005,63225.91289292075,23.33807726283989,544.6658503262842,12711.453697345207
63840,5251255,free_kick,['free_kick_cross'],"{'x': 66, 'y': 69}",Genoa,Sampdoria,A. Guðmundsson,0,34.0,69.0,19.0,37.96599004372203,0.18099468225524215,6.871642304469156,1441.4164000000003,54724.80069125766,21.46599004372203,460.78872855717333,9891.286259467615
63942,5251255,free_kick,['free_kick_cross'],"{'x': 65, 'y': 5}",Sampdoria,Genoa,A. Sabiri,0,35.0,5.0,45.0,47.82177851146902,0.11777517845636319,5.632218498288938,2286.9225,109364.70126789501,31.32177851146902,981.0538091215225,30728.350117137332
64481,5251249,free_kick,['free_kick_cross'],"{'x': 62, 'y': 18}",Hellas Verona,Cagliari,I. Ilić,0,38.0,18.0,32.0,45.44785583501162,0.14137606965397598,6.425239232154461,2065.5076,93872.89163092086,28.947855835011623,837.9783574446164,24257.676684166596
