,angle,arc_length,distance,distance_squared,distance_cube,adj_distance,adj_distance_squared,adj_distance_cube,goal
0,0.1160450502479539,3.908317527792697,33.679312641442074,1134.2960999999998,38202.31297986844,17.179312641442074,295.12878283241145,5070.109629766259,0
1,0.1175195037828624,5.860932711510295,49.87200016041065,2487.2164,124042.456699776,33.37200016041065,1113.6903947064484,37166.0760307914,0
2,0.0769963661860109,2.191896006862797,28.46752535785293,810.3999999999999,23070.082550004016,11.967525357852937,143.221663190853,1714.0088860304058,0
3,0.0741736429938575,2.279292326078965,30.72914089264456,944.2801,29016.916235020493,14.229140892644558,202.4684505427296,2880.952109087936,0
4,0.0422347424804082,1.2829694793576254,30.377111449247444,922.7689,28031.053717199477,13.877111449247444,192.5742221748345,2672.3739433723167,0
5,0.1404195093131685,7.117283169300602,50.68585700173176,2569.0561,130214.81011402668,34.185857001731755,1168.672818942852,39952.08187019108,0
6,0.1543405768015934,5.233175527579774,33.90667338445339,1149.6625,38981.23088985415,17.40667338445339,302.99227831303807,5274.087626606454,0
7,0.2164468823646021,7.168794264898112,33.120339672171234,1096.9568999999997,36331.58513373196,16.620339672171234,276.235690818349,4591.131010977832,0
8,0.0932710403868755,2.26277331730516,24.260191672779506,588.5569,14278.503204336925,7.760191672779506,60.22057479827638,467.3232030795797,0
9,0.1462597790763645,5.714384542620287,39.07010238020884,1526.4729000000002,59639.452483614295,22.57010238020884,509.4095214531086,11497.42505264985,0
10,0.1701536957693648,6.567188743164851,38.59562799074527,1489.6225,57492.91585664394,22.09562799074527,488.2167763054059,10787.456268085149,0
11,0.2309226581254427,7.280840170529753,31.52934506138686,994.0996,31343.30931378665,15.02934506138686,225.8812129742336,3394.846692674371,0
12,0.1023307582551294,2.9600184944375845,28.925990043557714,836.7129,24202.7490147163,12.425990043557714,154.40522856259545,1918.6378327920645,0
13,0.1766029177243779,6.48520565028464,36.72196209354832,1348.5024999999998,49519.65768805514,20.22196209354832,408.9277509129052,8269.321477960739,0
14,0.1309190837237474,4.498818632425982,34.36335257218073,1180.84,40577.62125133389,17.86335257218073,319.0993651180359,5700.184464662505,0
15,0.1830110478087245,5.934707417509991,32.42813747349668,1051.5840999999998,34100.91375974328,15.928137473496683,253.7055633746093,4041.057091221702,0
16,0.2179791337383957,7.193628797194823,33.001456028484554,1089.0960999999995,35941.757054944,16.501456028484554,272.29805106000924,4493.3143162087845,0
17,0.1939563789865206,7.005726156560003,36.12011212607181,1304.6624999999997,47124.55578668116,19.62011212607181,384.94879983963006,7552.738615650316,0
18,0.1824762701203128,7.290313173033478,39.95211633943814,1596.1716,63770.43346090713,23.452116339438145,550.0017607985415,12898.705281143222,0
19,0.1702343726745157,6.265854367048028,36.80722211740517,1354.7716000000005,49865.37919955239,20.307222117405168,412.3832701256296,8374.358663943056,0
20,0.1360626549382824,6.70362474257606,49.26866042424941,2427.4009,119594.79065561735,32.768660424249404,1073.785105999769,35186.49950712309,0
21,0.1610793441567224,5.891756610131654,36.57673577562656,1337.8575999999998,48934.46394061388,20.07673577562656,403.0753194043234,8092.436685356882,0
22,0.139007790676936,6.775274654833202,48.74025133295888,2375.6120999999994,115787.9308236182,32.24025133295888,1039.4338060123566,33511.6071498124,0
23,0.1407709150409139,5.510000195828047,39.14160957344498,1532.0656,59967.51355610572,22.64160957344498,512.6424840763154,11607.05097521692,0
24,0.1591595740840389,6.902501176568056,43.36843206757653,1880.8209,81568.25343292815,26.868432067576528,721.9126417699747,19396.66077412128,0
25,0.1574490675239515,6.027950658900914,38.2850832570598,1465.7476000000004,56116.26889983559,21.7850832570598,474.5898525170271,10338.979450039164,0
26,0.1308664514784029,5.76475631278132,44.05068103900325,1940.4625,85478.69465564683,27.550681039003244,759.0400257128929,20912.069644252733,0
27,0.1735994064443376,6.430410949983319,37.0416643794525,1372.0849,50824.30836591464,20.5416643794525,421.9599754780676,8667.760197832471,0
28,0.0956782018281287,2.9866829998427256,31.21591901578424,974.4336,30417.84034385909,14.715919015784236,216.5582724791201,3186.854000000868,0
29,0.1682343341226598,6.020156987891736,35.78435412299627,1280.5200000000002,45822.58114157919,19.28435412299627,371.8863139411232,7171.587371536385,0
30,0.1482440840645512,5.552711476187393,37.45654682428694,1402.9929,52551.26925299212,20.95654682428694,439.176854798531,9203.63032172848,1
31,0.2276084567139313,7.229556901543527,31.763129568731102,1008.8964,32045.707074626363,15.263129568731102,232.96312423187368,3555.7463498874886,0
32,0.1670151257986252,6.206872622133155,37.16353589205419,1381.1284,51327.614864935385,20.663535892054192,426.98171556221183,8822.952004770637,0
33,0.1277904148662058,5.433608167347547,42.519684853018376,1807.9236000000003,76872.34171033447,26.019684853018376,677.0239998503939,17615.95111403721,0
34,0.1499112875433781,5.045757399504318,33.65828872655293,1132.8804000000002,38130.81559585279,17.158288726552932,294.40687202375346,5051.51811326488,0
35,0.1234409296272464,4.681325517905924,37.92360874178511,1438.2001,54541.73788479622,21.42360874178511,458.9710115210914,9832.815374649208,0
36,0.14879117240663,4.426537379097243,29.750000000000004,885.0625000000002,26330.60937500001,13.250000000000004,175.56250000000009,2326.203125000002,0
37,0.1311036062949603,4.927009580180578,37.58103777172738,1412.3344000000002,53076.99243270993,21.08103777172738,444.41015353299656,9368.627232768264,0
38,0.1581113448498107,7.304744132061256,46.2,2134.44,98611.128,29.700000000000003,882.0900000000001,26198.073000000008,0
39,0.1574490675239515,6.027950658900914,38.2850832570598,1465.7476000000004,56116.26889983559,21.7850832570598,474.5898525170271,10338.979450039164,0
